epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2845.93,0.01308,4.69947,1.53502,0.47749,0.40092,0.36945,0.14968,0.01161,4.94458,1.32867,0.0005553,0.0005553,0.0005553
1,2841.76,0.01308,4.69947,1.53502,0.47749,0.40092,0.36945,0.14968,0.01161,4.94458,1.32867,0.0005553,0.0005553,0.0005553
2,5290.99,0.01389,2.48055,1.66452,0.49687,0.39939,0.40491,0.17007,0.01194,2.82348,1.37643,0.00105597,0.00105597,0.00105597
2,5290.81,0.01389,2.48055,1.66452,0.49687,0.39939,0.40491,0.17007,0.01194,2.82348,1.37643,0.00105597,0.00105597,0.00105597
3,7836.78,0.01371,2.32612,1.66294,0.55729,0.46697,0.43918,0.18305,0.01119,3.14698,1.30919,0.00150164,0.00150164,0.00150164
3,7852.04,0.01371,2.32612,1.66294,0.55729,0.46697,0.43918,0.18305,0.01119,3.14698,1.30919,0.00150164,0.00150164,0.00150164
4,10374,0.01342,2.20768,1.65061,0.57557,0.49309,0.49333,0.21545,0.01058,2.97056,1.2502,0.00141945,0.00141945,0.00141945
4,10380,0.01342,2.20768,1.65061,0.57557,0.49309,0.49333,0.21545,0.01058,2.97056,1.2502,0.00141945,0.00141945,0.00141945
5,12872.9,0.01268,2.01418,1.57524,0.61034,0.55914,0.56987,0.27217,0.01038,2.60007,1.21498,0.00133693,0.00133693,0.00133693
5,12870.3,0.01268,2.01418,1.57524,0.61034,0.55914,0.56987,0.27217,0.01038,2.60007,1.21498,0.00133693,0.00133693,0.00133693
6,15317.6,0.01216,1.86287,1.52,0.7179,0.59293,0.64224,0.30877,0.01008,2.02036,1.19276,0.00125442,0.00125442,0.00125442
6,15312.9,0.01216,1.86287,1.52,0.7179,0.59293,0.64224,0.30877,0.01008,2.02036,1.19276,0.00125442,0.00125442,0.00125442
7,17789.4,0.0118,1.76853,1.48675,0.6423,0.64516,0.61363,0.30412,0.00992,2.07313,1.17649,0.0011719,0.0011719,0.0011719
7,17805.4,0.0118,1.76853,1.48675,0.6423,0.64516,0.61363,0.30412,0.00992,2.07313,1.17649,0.0011719,0.0011719,0.0011719
